type,type sample,type sample %,type raw,type raw %
research_data,2.0,4.8649963512527365E-4,7.0,1.0242153778623162E-4
audio_visual,0.0,0.0,114.0,0.0016680079010900578
preprint,2.0,4.8649963512527365E-4,265.0,0.0038773867876216255
working_paper,228.0,0.055460958404281196,736.0,0.010768893115809496
other,0.0,0.0,780.0,0.011412685639037237
contribution_to_periodical,0.0,0.0,1169.0,0.017104396810300678
conference_item,62.0,0.015081488688883484,1799.0,0.02632233521106152
book,37.0,0.009000243249817562,3937.0,0.05760479918062769
thesis,7.0,0.0017027487229384578,5843.0,0.08549272075499305
book_section,123.0,0.02991972756020433,11989.0,0.1754188309313044
article,3650.0,0.8878618341036244,41706.0,0.6102275221303679
