keyword clean,wikidata label,qid,mesh id,yso id,occurrences
metabolism,metabolism,Q1057,D008660,3066,910
genetics,genetics,Q7162,D005823,5147,764
immunology,immunology,Q101929,D000486,18810,549
humans,human,Q5,D006801,,517
blood,blood,Q7873,D001769,14506,390
female,female organism,Q43445,D005260,,316
male,male organism,Q44148,,,301
aged,aging,Q332154,D000375,5056,247
pathology,pathology,Q7208,D010336,7343,236
mice,Mus,Q39275,D051379,,222
physiology,physiology,Q521,D010827,2317,219
diagnosis,medical diagnosis,Q177719,D019937,14134,215
middle aged,middle age,Q1202615,D008875,,211
animals,animal,Q729,D000818,2023,190
adult,adult,Q80994,D000328,,189
drug effects,physiological effect of drugs,Q50379782,D045505,,189
therapeutic use,therapeutic use,Q50379781,D045506,,163
drug therapy,pharmacotherapy,Q701216,D004358,,158
pharmacology,pharmacology,Q128406,D010600,1738,152
methods,technique,Q2695280,,,146
switzerland,Switzerland,Q39,D013557,105295,116
epidemiology,epidemiology,Q133805,D004813,11307,116
physiopathology,pathophysiology,Q1135939,Q000503,11545,116
administration & dosage,administration & dosage,,,,107
cytology,cell biology,Q7141,D003585,18492,96
chemistry,chemistry,Q2329,D002621,1801,93
80 and over,"Aged, 80 and over",Q69947178,D000369,,81
mortality,mortality rate,Q58702,D009026,,80
adverse effects,advers effect of psychopharmacological medication,Q62665995,,,80
receptors,biochemical receptor,Q208467,,,78
therapy,treatment,Q179661,D013812,,74
stars,star,Q523,D055609,,67
treatment outcome,treatment outcome,Q70490488,D016896,,60
complications,complication,Q1346149,,,60
etiology,etiology,Q156318,,19875,59
virology,virology,Q7215,D014773,14570,57
adolescent,adolescence,Q131774,D041923,,53
prospective studies,prospective studies,,,,52
young adult,young adult,Q17156455,D055815,,52
child,child,Q7569,D002648,,50
cell line,cell line,Q21014462,D002460,,50
prognosis,prognosis,Q592442,D011379,,49
diagnostic imaging,medical imaging,Q931309,D003952,,49
gene expression regulation,regulation of gene expression,Q411391,D005786,,47
