Departments,expected,observed keywords
Associated,842.375743337494,545.2906714736368
Central Services,158.43183319873725,356.01622352410993
Economics,223.6252844871889,802.1631365479947
Humanities,2449.0125541443363,2460.5678233438484
Interdisciplinary,167.09492695103148,279.4051374493015
Law,747.5222083547465,479.19483250713535
Medicine,1684.1641582850011,2012.9187321616346
Psychology,434.7698406871743,226.82890190776627
Science,2872.0358270317893,2624.3052426017725
Theology,420.9676235225021,213.30929848280005
