Wikidata,YSO
48766,27329
28618,9878
28963,10916
29912,12542
31549,14423
33774,16418
36467,18496
39387,20626
42438,22814
45573,25045
48776,27354
28618,9878
28963,10918
29912,12546
31549,14430
33775,16428
36469,18509
39390,20642
42443,22833
45580,25067
,27354
,9878
,10918
,12546
,14430
,16428
,18509
,20642
,22833
,25067
,27354
,9878
,10918
,12546
,14430
,16428
,18509
,20642
,22833
,25067
,27354
,9878
,10918
,12546
,14430
,16428
,18509
,20642
,22833
,25067
,27354
,9878
,10918
,12546
,14430
,16428
,18509
,20642
,22833
,25067
,21348
,9878
,10842
,12294
,13908
,15490
,16992
,18347
,19524
,20524
,27060
,9878
,10911
,12526
,14391
,16365
,18418
,20513
,22655
,24832
