Associated,Central Services,Economics,Humanities,Law,Medicine,Psychology,Science,Theology,Interdisciplinary
0.70929712,0.486106747,0.79197995,0.706976744,0.649496081,0.462444601,0.629370629,0.65377176,0.666158537,0.725107326
0.70929712,0.486106747,0.79197995,0.706976744,0.649014778,0.462444601,0.629370629,0.65377176,0.666158537,0.725107326
0.700075144,0.480842868,0.79197995,0.706976744,0.649014778,0.462444601,0.629370629,0.65377176,0.666158537,0.716272312
0.700075144,0.480842868,0.79197995,0.706976744,0.644067797,0.462444601,0.629370629,0.65377176,0.666158537,0.716272312
0.662234043,0.457991915,0.79197995,0.706976744,0.644067797,0.462444601,0.629370629,0.65377176,0.666158537,0.70718232
0.662234043,0.457991915,0.79197995,0.702954899,0.644067797,0.462444601,0.629370629,0.65377176,0.666158537,0.70718232
0.662234043,0.451626805,0.788944724,0.698907956,0.644067797,0.462444601,0.629370629,0.653120464,0.666158537,0.70718232
0.662234043,0.451626805,0.773536896,0.693725964,0.644067797,0.461558688,0.625351706,0.646572679,0.658177205,0.70718232
0.662234043,0.44034353,0.688752982,0.692203343,0.644067797,0.461558688,0.625351706,0.639859077,0.658177205,0.70718232
0.662234043,0.44034353,0.688752982,0.66035542,0.641025641,0.461558688,0.624561404,0.639733311,0.646798853,0.70718232
0.662234043,0.44034353,0.644134055,0.658410658,0.641025641,0.461558688,0.61427816,0.611422264,0.646798853,0.70718232
0.658666667,0.44034353,0.644134055,0.648298217,0.641025641,0.461558688,0.61427816,0.611227049,0.596320346,0.677966102
0.655960119,0.44034353,0.581413524,0.6261494,0.641025641,0.461558688,0.590780142,0.587721426,0.596320346,0.647637685
0.652336132,0.44034353,0.568769869,0.625459448,0.641025641,0.461558688,0.590780142,0.582845744,0.596320346,0.647637685
0.652336132,0.44034353,0.564916973,0.603507323,0.641025641,0.454635349,0.590780142,0.582668868,0.596320346,0.647637685
0.652336132,0.433470845,0.564916973,0.600643689,0.620689655,0.453611149,0.590780142,0.582668868,0.596320346,0.647637685
0.652336132,0.433470845,0.564916973,0.600643689,0.620582524,0.45133349,0.590780142,0.582668868,0.596320346,0.647637685
0.652336132,0.433470845,0.564916973,0.600643689,0.620582524,0.45133349,0.590780142,0.582668868,0.596320346,0.647637685
0.652336132,0.433470845,0.564916973,0.600643689,0.60169697,0.450944518,0.590780142,0.582668868,0.591856412,0.647637685
0.652336132,0.433470845,0.564916973,0.600643689,0.60169697,0.450944518,0.585204991,0.582668868,0.591856412,0.629255319
0.649243081,0.433470845,0.518996416,0.599154684,0.548340548,0.449518199,0.555280519,0.576226815,0.58699187,0.617468257
0.649243081,0.433470845,0.518996416,0.597308374,0.517700799,0.449518199,0.555280519,0.576226815,0.569233724,0.617468257
0.579032073,0.432234037,0.51144823,0.577007537,0.517700799,0.44845539,0.537381163,0.53761227,0.569233724,0.480633305
0.579032073,0.431060102,0.51144823,0.574854715,0.488888889,0.44845539,0.537381163,0.537571614,0.546598741,0.480633305
0.556534879,0.431060102,0.390663585,0.476468382,0.461538462,0.44845539,0.474832401,0.456598547,0.509803922,0.47761194
0.556534879,0.426896144,0.390663585,0.474225055,0.46041158,0.44845539,0.474832401,0.456551367,0.509803922,0.47761194
0.471513329,0.404520562,0.368752939,0.455074325,0.445099002,0.44845539,0.431525556,0.428948667,0.509803922,0.441648317
0.467870862,0.404520562,0.340154245,0.421065364,0.445099002,0.44845539,0.431525556,0.414150782,0.509803922,0.428076999
0.467870862,0.403252872,0.336356306,0.412212282,0.445099002,0.448374141,0.431525556,0.41347814,0.509803922,0.424536628
0.460608805,0.403252872,0.336356306,0.412212282,0.445099002,0.447641823,0.431525556,0.41347814,0.509803922,0.424536628
0.460608805,0.403252872,0.336356306,0.412212282,0.445099002,0.447641823,0.431525556,0.41347814,0.509803922,0.424536628
0.460608805,0.403252872,0.336356306,0.412212282,0.445099002,0.445884274,0.431525556,0.41347814,0.488888889,0.424536628
0.460608805,0.403252872,0.336356306,0.412212282,0.429990967,0.445884274,0.431525556,0.41347814,0.488888889,0.424536628
0.460608805,0.403252872,0.336356306,0.411351945,0.429990967,0.445884274,0.426075005,0.41347814,0.488888889,0.424536628
0.460608805,0.403252872,0.297470679,0.399256045,0.428571429,0.445884274,0.407315222,0.383861522,0.488888889,0.364213735
0.460608805,0.399758174,0.297470679,0.399256045,0.380952381,0.445884274,0.407315222,0.383770088,0.488888889,0.364213735
0.391181517,0.375384615,0.243912883,0.391823747,0.380952381,0.445884274,0.349240762,0.370488477,0.488888889,0.313528937
0.391181517,0.375384615,0.231633819,0.389556671,0.365323565,0.445884274,0.349240762,0.370488477,0.488888889,0.292468753
0.351982618,0.375384615,0.231633819,0.337882564,0.365323565,0.441982462,0.337224384,0.323790016,0.482440039,0.286716655
0.351982618,0.375384615,0.214565527,0.324612545,0.360090023,0.439367905,0.337224384,0.323678833,0.482440039,0.286716655
0.335218529,0.375384615,0.210539098,0.322741822,0.338345865,0.439367905,0.304156317,0.309855013,0.469135802,0.286716655
0.329625071,0.375384615,0.210539098,0.286113671,0.323003055,0.438759701,0.302676111,0.290704098,0.448979592,0.286716655
0.329625071,0.375384615,0.210539098,0.276168267,0.323003055,0.428484232,0.302676111,0.29000947,0.417072015,0.286716655
0.318069798,0.374250922,0.210539098,0.276035795,0.323003055,0.428472202,0.302676111,0.29000947,0.417072015,0.286716655
0.318069798,0.374250922,0.210539098,0.276035795,0.323003055,0.428472202,0.302676111,0.29000947,0.379782981,0.283324038
0.318069798,0.374126239,0.210539098,0.276035795,0.323003055,0.428472202,0.302676111,0.29000947,0.379782981,0.283324038
0.318069798,0.372605854,0.185109331,0.276035795,0.323003055,0.428472202,0.302676111,0.29000947,0.379782981,0.227042598
0.318069798,0.37254885,0.185109331,0.276035795,0.316023439,0.428472202,0.302676111,0.29000947,0.379782981,0.227042598
0.318069798,0.37254885,0.178256973,0.271214014,0.316023439,0.428472202,0.301552629,0.275282843,0.379782981,0.222925947
0.318069798,0.37254885,0.1509116,0.269609615,0.306905371,0.426034456,0.301552629,0.275165104,0.379782981,0.201190476
0.280761955,0.37254885,0.1509116,0.260532481,0.271148143,0.422495507,0.260492725,0.237830688,0.379782981,0.195780892
0.280761955,0.37254885,0.146059868,0.227993348,0.269204852,0.422495507,0.260492725,0.235899454,0.376068376,0.195780892
0.249786175,0.37254885,0.142619308,0.226821775,0.269204852,0.408040517,0.225273402,0.235782366,0.376068376,0.195780892
0.227999503,0.365325077,0.142619308,0.213202038,0.244830438,0.404084448,0.218452012,0.212639745,0.371184371,0.195780892
0.227999503,0.364218634,0.142619308,0.201896929,0.2413273,0.403999227,0.218452012,0.212025386,0.354448544,0.195780892
0.227999503,0.364218634,0.142619308,0.192470996,0.236318408,0.403999227,0.218452012,0.212025386,0.354448544,0.195780892
0.227999503,0.348058563,0.142619308,0.192103219,0.232777065,0.403999227,0.218452012,0.212025386,0.313489409,0.18525641
0.227999503,0.348058563,0.142619308,0.192103219,0.232777065,0.403999227,0.218452012,0.212025386,0.310422535,0.18525641
0.227999503,0.341010456,0.13787337,0.192103219,0.232149675,0.403999227,0.218452012,0.212025386,0.306852903,0.172090458
0.227999503,0.340443722,0.125445143,0.192103219,0.232149675,0.403999227,0.218452012,0.212025386,0.306852903,0.154087678
0.192848899,0.33785131,0.125445143,0.192103219,0.232149675,0.395352161,0.178437547,0.190532524,0.306852903,0.154087678
0.16870426,0.33785131,0.111621002,0.183810382,0.232149675,0.395352161,0.166143533,0.160561134,0.306852903,0.147005445
0.16870426,0.33785131,0.105904583,0.165435137,0.232149675,0.395352161,0.166143533,0.160510844,0.306852903,0.142309132
0.16870426,0.33785131,0.103056144,0.153635474,0.21619187,0.395352161,0.166143533,0.159991846,0.306852903,0.142309132
0.16870426,0.33785131,0.103056144,0.149458436,0.202959831,0.395352161,0.166143533,0.159991846,0.301535836,0.142309132
0.16870426,0.33785131,0.103056144,0.145701876,0.186732187,0.395352161,0.166143533,0.159991846,0.301535836,0.142309132
0.16870426,0.314978061,0.103056144,0.141047779,0.183807969,0.395352161,0.166143533,0.159991846,0.270655271,0.142309132
0.16870426,0.31010916,0.103056144,0.140644829,0.176171654,0.390658132,0.166143533,0.159991846,0.26046176,0.142309132
0.154461987,0.306883929,0.103056144,0.140644829,0.176171654,0.389537685,0.149743862,0.159991846,0.26046176,0.138869351
0.129368059,0.306883929,0.094977209,0.140644829,0.176171654,0.387408935,0.132107843,0.141017405,0.255507387,0.117961165
0.129258415,0.306883929,0.085274453,0.140644829,0.176171654,0.387408935,0.13129699,0.127535448,0.246017548,0.112166303
0.129258415,0.306883929,0.080601108,0.140644829,0.176171654,0.37839507,0.13129699,0.125517623,0.246017548,0.108162137
0.129258415,0.306883929,0.078022932,0.1156929,0.15133413,0.378198062,0.13129699,0.125032893,0.246017548,0.108162137
0.129258415,0.306883929,0.077972482,0.107980313,0.147993549,0.378198062,0.13129699,0.125032893,0.246017548,0.108162137
0.129258415,0.291703171,0.077972482,0.107595374,0.139076014,0.378198062,0.13129699,0.125032893,0.246017548,0.108162137
0.129258415,0.279192274,0.077972482,0.107595374,0.139076014,0.378198062,0.13129699,0.125032893,0.246017548,0.108162137
0.129258415,0.275650118,0.077972482,0.107595374,0.139076014,0.378198062,0.13129699,0.125032893,0.233248082,0.108162137
0.112060759,0.275650118,0.077972482,0.107595374,0.139076014,0.378198062,0.119279496,0.125032893,0.205712658,0.103957219
0.101813667,0.275650118,0.077972482,0.107595374,0.139076014,0.375114323,0.109497207,0.118707899,0.203136137,0.095219436
0.101813667,0.275650118,0.06350374,0.092435205,0.126798749,0.351173226,0.106840942,0.10082977,0.195557963,0.089067746
0.101813667,0.275650118,0.061063333,0.085179571,0.116941529,0.350801578,0.106840942,0.100291641,0.195557963,0.085012172
0.101813667,0.275650118,0.061063333,0.084831014,0.109649123,0.350801578,0.106840942,0.100291641,0.195557963,0.085012172
0.101813667,0.272681704,0.061063333,0.084831014,0.109649123,0.350801578,0.106840942,0.100291641,0.195557963,0.085012172
