Configuration,F1-macro,F1-micro,F1-weighted
wikidata-en-T-F-4-N,0.285219086,0.39903008,0.517442695
wikidata-en-F-F-4-N,0.285105708,0.398808203,0.517237006
wikidata-en-T-F-5-N,0.296617935,0.421702443,0.502656525
wikidata-en-F-F-5-N,0.296492251,0.421448451,0.502458415
yso-maui-en-T-F-2-N,0.274003593,0.377417285,0.496124552
yso-bonsai-en-T-F-2-N,0.274165669,0.377724858,0.49609974
yso-en-F-F-2-N,0.274165669,0.377724858,0.49609974
yso-en-T-F-2-N,0.274165669,0.377724858,0.49609974
yso-fasttext-en-F-F-2-N,0.274165669,0.377724858,0.49609974
yso-fasttext-en-T-F-2-N,0.274165669,0.377724858,0.49609974
yso-bonsai-en-F-F-2-N,0.274009045,0.377427629,0.495907172
wikidata-en-T-F-6-N,0.297294693,0.42307165,0.466586939
wikidata-en-F-F-6-N,0.297157175,0.42279321,0.466396689
yso-maui-en-T-F-3-N,0.28821457,0.404917771,0.454571854
yso-bonsai-en-T-F-3-N,0.288129823,0.404750518,0.453713756
wikidata-en-T-F-7-N,0.293807594,0.416044681,0.426919814
wikidata-en-F-F-7-N,0.293658764,0.415746312,0.426736056
wikidata-en-T-F-8-N,0.288561467,0.405602808,0.389136115
wikidata-en-F-F-8-N,0.288418652,0.405320703,0.388989349
