type,type sample,type sample %,type raw,type raw %
Research data,2.0,4.8649963512527365E-4,7.0,1.0242153778623162E-4
Audio visual,0.0,0.0,114.0,0.0016680079010900578
Preprint,2.0,4.8649963512527365E-4,265.0,0.0038773867876216255
Working paper,228.0,0.055460958404281196,736.0,0.010768893115809496
Other,0.0,0.0,780.0,0.011412685639037237
Periodical contrib.,0.0,0.0,1169.0,0.017104396810300678
Conference item,62.0,0.015081488688883484,1799.0,0.02632233521106152
Book,37.0,0.009000243249817562,3937.0,0.05760479918062769
Thesis,7.0,0.0017027487229384578,5843.0,0.08549272075499305
Book section,123.0,0.02991972756020433,11989.0,0.1754188309313044
Article,3650.0,0.8878618341036244,41706.0,0.6102275221303679
